WELLID,UNION,VILLAGE,LATITUDE,LONGITUDE,DEPTH-FT,YEAR,KIT-COLOR,ARSENIC
1243,Brahmandi,Laskardi,23.7759,90.61243,35,1995,Green,3
1249,Brahmandi,Laskardi,23.7762,90.61245,120,1996,Green,18
1336,Brahmandi,Laskardi,23.77355,90.6044,40,1996,Green,12
1348,Brahmandi,Laskardi,23.77324,90.60328,45,1999,Green,29
1355,Brahmandi,Laskardi,23.77195,90.6031,45,1994,Green,6
1360,Brahmandi,Laskardi,23.7722,90.60435,65,1999,Red,67
1370,Brahmandi,Laskardi,23.77187,90.60293,45,,Green,10
1376,Brahmandi,Laskardi,23.77178,90.60273,40,1997,Green,1
1378,Brahmandi,Laskardi,23.77151,90.60323,45,1994,Green,25
1381,Brahmandi,Laskardi,23.77133,90.60262,55,1994,Green,44
1393,Brahmandi,Laskardi,23.76969,90.60218,45,1999,Green,4
1430,Brahmandi,Pajardia,23.76694,90.60359,36,1999,Red,89
1494,Duptara,Monohar,23.79993,90.62177,60,1993,Green,44
1496,Duptara,Monohar,23.80019,90.62187,60,1999,Green,46
1505,Duptara,Monohar,23.79958,90.62336,75,1992,Green,27
1506,Duptara,Monohar,23.79949,90.62338,75,1992,Green,24
1507,Duptara,Monohar,23.79942,90.6234,75,1995,Green,24
1584,Araihazar,Lakhupura,23.78225,90.63671,70,1990,Red,114
1604,Brahmandi,Choto Binarchar,23.78941,90.63236,45,1999,Red,201
1621,Brahmandi,Chota Binarchar,23.78855,90.6356,60,1998,Red,265
1645,Brahmandi,Chota Binarchar,23.78921,90.63658,45,1990,Red,287
1646,Brahmandi,Chota Binarchar,23.78906,90.63707,70,1995,Red,229
1652,Brahmandi,Chota Binarchar,23.78889,90.63725,60,1996,Red,195
1712,Brahmandi,Digaldi,23.78377,90.62924,75,1995,Green,28
1716,Brahmandi,Digaldi,23.78327,90.62947,37,1987,Green,15
1717,Brahmandi,Digaldi,23.78313,90.62951,45,1996,Green,25
1718,Brahmandi,Digaldi,23.78335,90.62984,52,1990,Red,144
1719,Brahmandi,Digaldi,23.78366,90.62966,50,1991,Green,14
1802,Brahmandi,Dhar Maruadi,23.77798,90.63119,36,1998,Green,27
1836,Brahmandi,Dhar Maruadi,23.77613,90.63261,40,1994,Red,229
1843,Brahmandi,Dhar Maruadi,23.77993,90.63071,35,1999,Green,61
1847,Brahmandi,Brahmandi,23.77537,90.63539,45,1999,Red,269
1848,Brahmandi,Brahmandi,23.77532,90.63567,60,1995,Red,241
1861,Brahmandi,Brahmandi,23.77494,90.63603,90,1998,Red,544
1863,Brahmandi,Dhar Maruadi,23.77566,90.6298,45,1999,Green,36
1916,Brahmandi,Maruadi,23.77201,90.62962,40,2001,Green,18
1917,Brahmandi,Maruadi,23.77163,90.62967,60,1999,Green,5
1918,Brahmandi,Maruadi,23.77171,90.62964,45,1992,Green,25
1919,Brahmandi,Maruadi,23.77164,90.62956,55,1973,Red,109
1920,Brahmandi,Maruadi,23.77139,90.62951,45,1999,Green,28
2047,Brahmandi,Fausa,23.7693,90.62465,50,1996,Green,17
2048,Brahmandi,Fausa,23.76938,90.6246,46,2000,Green,51
2078,Brahmandi,Fausa,23.76886,90.62172,45,1978,Red,65
2129,Brahmandi,Silmandi,23.76414,90.61947,45,1994,Green,39
2219,Brahmandi,Edbardi,23.75468,90.61206,200,1997,Green,1
2220,Brahmandi,Edbardi,23.75485,90.61209,160,1995,Red,231
2223,Brahmandi,Edbardi,23.75467,90.61205,60,1990,Red,225
2224,Brahmandi,Edbardi,23.75497,90.61228,50,1999,Green,36
2225,Brahmandi,Edbardi,23.75518,90.6121,80,1988,Red,89
2228,Brahmandi,Edbardi,23.75563,90.61138,50,,Red,99
2229,Brahmandi,Edbardi,23.75591,90.61147,35,1993,Red,126
2230,Brahmandi,Edbardi,23.7559,90.61121,50,1973,Red,154
2232,Brahmandi,Edbardi,23.75563,90.61094,60,1992,Red,128
2290,Brahmandi,Edbardi,23.75593,90.61055,45,1995,Red,129
2505,Brahmandi,Ujan Gobindi,23.78804,90.61878,45,1983,Green,153
2506,Brahmandi,Ujan Gobindi,23.78806,90.61879,45,1998,Red,142
2509,Brahmandi,Ujan Gobindi,23.78783,90.61905,50,1997,Green,201
2510,Brahmandi,Ujan Gobindi,23.78778,90.61904,60,1973,Green,156
2642,Brahmandi,Ujan  Gobindi,23.78967,90.62636,50,1997,Red,202
2646,Brahmandi,Ujan  Gobindi,23.79012,90.62604,50,1993,Green,92
2647,Brahmandi,Ujan  Gobindi,23.79011,90.62589,50,1995,Green,81
2659,Brahmandi,Ujan  Gobindi,23.79073,90.6259,50,1995,Green,42
2670,Brahmandi,Ujan  Gobindi,23.79076,90.62655,55,1993,Red,114
2671,Brahmandi,Ujan  Gobindi,23.79075,90.62677,60,1993,Red,216
2673,Brahmandi,Ujan  Gobindi,23.79044,90.62676,50,1993,Red,150
2693,Brahmandi,Digaldi,23.7799,90.62759,45,1996,Red,140
2694,Brahmandi,Digaldi,23.77969,90.6274,75,1975,Red,129
2695,Brahmandi,Digaldi,23.77972,90.62718,45,1998,Red,73
2696,Brahmandi,Digaldi,23.77979,90.62703,45,1987,Green,1
2697,Brahmandi,Digaldi,23.7797,90.62689,45,1994,Green,48
2808,Brahmandi,Bara Binairchar,23.7927,90.62264,45,1998,Red,55
2809,Brahmandi,Bara Binairchar,23.79273,90.62327,110,1993,Green,98
2811,Brahmandi,Bara Binairchar,23.79256,90.62334,72,1997,Red,43
2812,Brahmandi,Bara Binairchar,23.79263,90.62359,52,1997,Green,20
2857,Brahmandi,Langardi,23.75901,90.61638,25,1998,Green,28
2859,Brahmandi,Langardi,23.75885,90.61595,25,2000,Red,75
2865,Brahmandi,Langardi,23.75949,90.61576,45,1998,Red,59
2866,Brahmandi,Langardi,23.75971,90.61615,70,1999,Green,34
2873,Brahmandi,Langardi,23.75969,90.61548,80,1987,Green,77
2894,Brahmandi,Kumerbak,23.76186,90.61598,45,1992,Green,21
2905,Brahmandi,Kumerbak,23.76213,90.61524,45,1995,Green,3
2906,Brahmandi,Kumerbak,23.7624,90.61528,45,1996,Green,38
2908,Brahmandi,Kumerbak,23.76224,90.6155,55,1998,Green,125
2910,Brahmandi,Kumerbak,23.76188,90.61637,60,1997,Red,125
2928,Duptara,Bajbi,23.79083,90.60573,120,2000,Green,1
2929,Duptara,Bajbi,23.79078,90.60565,120,1998,Green,1
2930,Duptara,Bajbi,23.79091,90.60572,140,1994,Green,1
2931,Duptara,Bajbi,23.79102,90.60582,125,1995,Green,1
2935,Duptara,Bajbi,23.79067,90.60611,120,1995,Green,1
2988,Duptara,Kathalipara,23.79168,90.60675,155,1984,Green,1
2991,Duptara,Kathalipara,23.79185,90.60683,140,1990,Green,1
2993,Duptara,Kathalipara,23.79172,90.60644,175,1998,Green,1
3003,Duptara,Kathalipara,23.79222,90.60703,140,1997,Green,1
3004,Duptara,Kathalipara,23.79195,90.60709,140,1998,Green,1
3105,Duptara,Girda,23.80075,90.60625,115,1999,Green,1
3106,Duptara,Girda,23.80057,90.60584,105,1998,Green,2
3107,Duptara,Girda,23.80075,90.60595,105,2001,Green,1
3108,Duptara,Girda,23.80034,90.60594,105,1999,Green,1
3109,Duptara,Girda,23.80033,90.60608,105,1998,Green,1
3143,Duptara,Girda,23.79758,90.60825,80,1985,Red,110
3223,Duptara,Bhuyanpara,23.78803,90.61049,30,1994,Green,1
3239,Duptara,Bhuyanpara,23.7892,90.6099,30,1990,Green,1
3267,Duptara,Bhuyanpara,23.78735,90.60984,25,1995,Green,1
3276,Duptara,Bhuyanpara,23.78852,90.61062,25,1990,Green,1
3289,Duptara,Satyabhadi,23.78771,90.61135,30,1990,Green,1
3291,Duptara,Satyabhadi,23.78794,90.61143,30,1998,Green,1
3292,Duptara,Satyabhadi,23.78843,90.61157,35,1991,Green,1
3293,Duptara,Satyabhadi,23.78841,90.61147,30,1993,Green,3
3294,Duptara,Satyabhadi,23.78819,90.61141,30,1989,Green,1
3381,Duptara,Mollapara,23.78921,90.61497,35,1996,Green,7
3386,Duptara,Hatkholapara,23.78989,90.61564,25,1996,Green,50
3387,Duptara,Hatkholapara,23.79004,90.61569,25,1991,Green,37
3403,Duptara,Hatkholapara,23.79121,90.61438,170,1998,Green,3
3405,Duptara,Hatkholapara,23.79236,90.61446,35,1992,Green,7
3406,Duptara,Hatkholapara,23.79191,90.6149,148,1997,Green,1
3407,Duptara,Hatkholapara,23.79197,90.61499,145,1993,Green,9
3409,Duptara,Hatkholapara,23.7922,90.61486,192,1994,Green,9
3482,Brahmandi,Bara Manohardi,23.78221,90.61176,45,1993,Red,416
3510,Brahmandi,Chota Monohardi,23.77815,90.60065,195,1986,Green,32
3511,Brahmandi,Chota Monohardi,23.77878,90.60051,145,1996,Green,1
3520,Brahmandi,Chota Monohardi,23.77813,90.6,130,1995,Green,1
3542,Brahmandi,Bhati Gobindi,23.7777,90.59903,165,1998,Green,1
3543,Brahmandi,Bhati Gobindi,23.77775,90.5989,60,1996,Red,295
3544,Brahmandi,Bhati Gobindi,23.77743,90.59872,120,1997,Green,1
3545,Brahmandi,Bhati Gobindi,23.77796,90.59884,130,1999,Green,1
3546,Brahmandi,Bhati Gobindi,23.77802,90.59882,60,1991,Red,306
3602,Brahmandi,Baliapara,23.77439,90.59385,70,1992,Red,161
3608,Brahmandi,Baliapara,23.77429,90.59293,,1998,Red,479
3641,Brahmandi,Baliapara,23.77185,90.59169,45,1993,Red,241
3688,Brahmandi,Baliapara,23.77049,90.59083,65,1978,Red,151
3710,Brahmandi,Baliapara,23.77106,90.58796,225,1998,Green,32
3712,Brahmandi,Baliapara,23.77093,90.58861,35,1995,Red,90
3733,Brahmandi,Kadamdi,23.76876,90.59453,65,1992,Red,90
3737,Brahmandi,Kadamdi,23.76883,90.59483,55,1997,Red,77
3743,Brahmandi,Kadamdi,23.76917,90.59467,60,1993,Red,92
3795,Brahmandi,Utrapur,23.76458,90.60092,120,1990,Red,74
3798,Brahmandi,Utrapur,23.76458,90.60125,45,1995,Red,74
3799,Brahmandi,Utrapur,23.76467,90.60128,65,1990,Red,82
3801,Brahmandi,Utrapur,23.76413,90.60165,72,1993,Red,268
3879,Araihazar,Choto BinairChar,23.79041,90.63648,45,1995,Red,282
3880,Araihazar,Choto BinairChar,23.79031,90.63624,60,1995,Red,247
3881,Araihazar,Choto BinairChar,23.7901,90.63634,50,1999,Red,111
3882,Araihazar,Choto BinairChar,23.79044,90.63661,45,1970,Red,261
3887,Araihazar,Choto BinairChar,23.78969,90.63656,60,1995,Red,447
3910,Duptara,Tingaon,23.78778,90.6007,130,1992,Green,1
3911,Duptara,Tingaon,23.78779,90.60082,130,1993,Green,1
3928,Duptara,Panchgaon (DewanPara),23.80159,90.63065,180,2000,Green,9
3932,Duptara,Panchgaon (Karmaker para),23.80206,90.63094,160,1998,Green,2
3939,Duptara,Panchgaon (Karmaker para),23.80196,90.63134,45,2000,Green,6
3941,Duptara,Panchgaon (Karmaker para),23.80279,90.63223,45,1997,Green,8
3943,Duptara,Panchgaon (Karmaker para),23.80318,90.63262,50,1997,Green,9
4043,Duptara,Dari Satyabhandi,23.7847,90.60147,135,1997,Green,1
4046,Duptara,Dari Satyabhandi,23.78521,90.60157,135,1995,Green,1
4051,Duptara,Dari Satyabhandi,23.78519,90.60134,120,1997,Green,1
4052,Duptara,Dari Satyabhandi,23.78531,90.60165,135,1986,Green,1
4180,Duptara,Noyapara,23.78824,90.60776,150,1997,Green,1
4182,Duptara,Noyapara,23.78826,90.60787,125,1999,Green,1
4188,Duptara,Noyapara,23.78881,90.60814,45,1996,Green,40
4190,Duptara,Noyapara,23.78909,90.60843,160,1998,Green,4
4346,Brahmandi,Rishir Char,23.77795,90.60395,145,1970,Green,15
4347,Brahmandi,Rishir Char,23.77839,90.60394,135,1998,Green,15
4348,Brahmandi,Rishir Char,23.77786,90.60365,130,2000,Green,17
4352,Brahmandi,Rishir Char,23.7781,90.6031,175,1998,Green,15
4353,Brahmandi,Rishir Char,23.77799,90.60311,75,1987,Red,498
4384,Brahmandi,Baliapara,23.7749,90.59332,60,1992,Red,105
4395,Brahmandi,Baliapara,23.7745,90.59271,60,1998,Red,294
4418,Brahmandi,Baliapara,23.77043,90.58699,120,1998,Red,54
4430,Brahmandi,Baliapara,23.76933,90.58696,125,1993,Red,71
4449,Brahmandi,Baliapara,23.76774,90.58548,45,1999,Red,283
4566,Brahmandi,Bhati Baliapara,23.76537,90.59243,45,1995,Red,142
4571,Brahmandi,Bhati Baliapara,23.76475,90.59249,45,1999,Red,174
4574,Brahmandi,Bhati Baliapara,23.76457,90.59252,45,1996,Red,301
4619,Brahmandi,Choto Binarchar,23.79015,90.63165,45,,Red,226
4685,Brahmandi,Bara Binairchar,23.79334,90.62288,50,1986,Green,1
4877,Brahmandi,Chota Fausa,23.76508,90.62943,80,1970,Red,163
4880,Brahmandi,Maruadi,23.76653,90.62932,25,1999,Red,131
4950,Duptara,Kumarpara,23.80115,90.61052,195,1999,Green,1
4960,Brahmandi,Maruadi,23.76617,90.63099,70,1993,Green,50
4961,Brahmandi,Maruadi,23.7662,90.63118,70,1995,Green,49
7082,Araihazar,Jhaugara,23.79001,90.64591,45,1993,Green,34
7085,Araihazar,Jhaugara,23.78976,90.64615,90,1999,Green,86
7086,Araihazar,Jhaugara,23.78975,90.64623,50,1980,Red,38
7090,Araihazar,Jhaugara,23.79022,90.64663,60,1997,Red,68
7195,Araihazar,Kamrangir Char,23.79807,90.64681,45,1996,Red,212
7356,Araihazar,Mukandi,23.79519,90.65165,40,2000,Green,52
7389,Araihazar,Mukandi Gazipura,23.7988,90.64891,50,1999,Green,60
7390,Araihazar,Mukandi Gazipura,23.79896,90.64866,30,1981,Green,42
7463,Araihazar,Chota Bara Para,23.79296,90.65995,35,1994,Green,78
7464,Araihazar,Araihazar,23.79265,90.66113,70,1993,Red,140
7466,Araihazar,Araihazar,23.79272,90.66117,40,1998,Green,12
7467,Araihazar,Araihazar,23.79307,90.66143,40,1990,Red,134
7469,Araihazar,Araihazar,23.79239,90.66,85,1999,Red,178
7475,Araihazar,Araihazar,23.79319,90.66129,45,1999,Red,116
7476,Araihazar,Chota Bara Para,23.79636,90.66059,40,1982,Green,96
7477,Araihazar,Chota Bara Para,23.79367,90.66068,40,1990,Green,127
7508,Araihazar,Chota Bara Para,23.79437,90.65746,55,1999,Red,113
7522,Araihazar,Chota Bara Para,23.79397,90.65882,60,1990,Red,173
7535,Araihazar,Mirka Baganagar,23.79544,90.65982,35,2002,Red,80
7536,Araihazar,Mirka Baganagar,23.79533,90.65949,40,1998,Red,90
7540,Araihazar,Mirka Baganagar,23.79669,90.66116,45,1985,Green,51
7548,Araihazar,Mirka Baganagar,23.79659,90.66169,45,1998,Red,69
7645,Araihazar,Noa Para,23.7827,90.6487,75,1997,Red,49
7647,Araihazar,Noa Para,23.78314,90.64878,75,1982,Red,256
7648,Araihazar,Noa Para,23.78324,90.64889,85,2000,Red,341
7649,Araihazar,Noa Para,23.78309,90.64869,60,2000,Green,47
7651,Araihazar,Noa Para,23.78168,90.64714,60,2000,Red,46
7787,Araihazar,Mukandi Gazipura,23.7992,90.64936,50,1999,Red,155
7788,Araihazar,Mukandi Gazipura,23.79937,90.6492,50,1992,Green,54
7789,Araihazar,Mukandi Gazipura,23.79926,90.64981,50,1992,Red,89
7801,Brahmandi,Brahmandi,23.77412,90.63766,75,1990,Red,255
7838,Brahmandi,Brahmandi,23.77196,90.63555,45,1999,Green,18
7839,Brahmandi,Brahmandi,23.77191,90.63567,45,1991,Green,26
7840,Brahmandi,Brahmandi,23.77186,90.63582,35,1996,Green,38
7841,Brahmandi,Brahmandi,23.77177,90.63551,40,1996,Green,78
7846,Brahmandi,Brahmandi,23.7719,90.63537,35,1998,Green,32
7895,Brahmandi,Brahmandi,23.77387,90.63892,45,1994,Red,108
7895,Brahmandi,Maruadi,23.76584,90.63173,45,2000,Red,108
7912,Brahmandi,Noadda,23.76756,90.63497,60,2000,Red,307
7918,Brahmandi,Noadda,23.76729,90.63605,150,1999,Green,1
7921,Brahmandi,Noadda,23.76779,90.63765,90,2000,Red,105
7925,Brahmandi,Noadda,23.76633,90.63758,65,1996,Red,78
7935,Brahmandi,Noadda,23.76987,90.63498,35,1997,Red,372
7954,Brahmandi,Chota Fausa,23.76351,90.63045,170,1995,Green,2
7962,Brahmandi,Chota Fausa,23.76374,90.63264,42,1989,Red,110
7991,Araihazar,Kamrangir Char,23.79818,90.64751,46,1990,Red,126
7998,Araihazar,Kamrangir Char,23.79795,90.64707,45,1999,Red,95
8000,Araihazar,Kamrangir Char,23.79805,90.64745,45,1989,Red,120
18,Araihazar,Krishnapura,23.78877,90.65223,50,1996,Red,232
347,Brahmandi,Sulpandi,23.77966,90.61804,30,1996,Red,71
350,Brahmandi,Sulpandi,23.77952,90.61771,55,1995,Red,116
797,Araihazar,Kamrangir Char,23.79775,90.64724,60,1999,Red,100
840,Araihazar,Lakhupura,23.78266,90.63672,40,1990,Red,109
843,Araihazar,Lakhupura,23.7829,90.63666,45,1998,Green,74
1056,Brahmandi,Choto Manohardi,23.7806,90.6166,60,1997,Green,31
1060,Brahmandi,Choto Manohardi,23.78086,90.61689,35,1999,Green,23
1296,Brahmandi,Chota Monohardi,23.77996,90.60705,70,1999,Red,469
1643,Brahmandi,Chota Binarchar,23.78898,90.63624,60,1995,Red,159
1697,Brahmandi,Dhar Maruadi,23.77949,90.63186,72,1999,Red,93
2049,Brahmandi,Fausa,23.76987,90.62444,60,1996,Red,522
2050,Brahmandi,Fausa,23.77001,90.62419,50,1998,Red,172
2654,Brahmandi,Ujan  Gobindi,23.79004,90.62606,40,1990,Red,399
2664,Brahmandi,Ujan  Gobindi,23.791,90.62636,50,2003,Green,95
2665,Brahmandi,Ujan  Gobindi,23.79084,90.62651,40,2002,Green,189
3384,Duptara,Hatkholapara,23.78997,90.61511,45,1990,Red,149
3493,Brahmandi,Bara Manohardi,23.78178,90.61102,40,1999,Red,148
3498,Brahmandi,Bara Manohardi,23.78228,90.61114,35,1988,Green,97
3507,Duptara,Bhuyanpara,23.78906,90.61157,25,1999,Green,1
3794,Brahmandi,Utrapur,23.76486,90.60066,50,2000,Red,149
4419,Brahmandi,Baliapara,23.77054,90.58662,60,1988,Red,109
4457,Brahmandi,Baliapara,23.76778,90.58555,60,1995,Red,245
4567,Brahmandi,Bhati Baliapara,23.76542,90.5927,45,1996,Red,516
7088,Araihazar,Jhaugara,23.79007,90.646,45,2001,Red,93
7353,Araihazar,Mukandi,23.79489,90.65151,40,1970,Red,48
7357,Araihazar,Mukandi,23.79546,90.65153,30,2001,Green,172
7890,Brahmandi,Maruadi,23.76576,90.63122,60,1990,Red,175
7893,Brahmandi,Maruadi,23.76564,90.63149,45,1992,Green,624
7970,Brahmandi,Chota Fausa,23.76436,90.63032,30,1999,Red,254
