YEAR	MONTH	DAY	HOUR	MINUTE	CO-ppb
2002	11	21	20	25	366.13
2002	11	25	0	29	370.36
2002	11	25	0	29	374.95
2002	12	1	23	22	376.51
2002	12	1	23	22	378.68
2002	12	5	22	30	385.38
2002	12	5	22	30	386.61
2002	12	8	20	20	398.55
2002	12	8	20	20	400.33
2002	12	12	21	0	400.61
2002	12	12	21	0	410.53
2002	12	15	19	55	410.77
2002	12	15	19	55	426.57
2002	12	19	20	0	427.74
2002	12	19	20	0	430.69
2002	12	23	0	0	454.06
2002	12	23	0	0	466.45
2002	12	26	20	0	501.15
2002	12	26	20	0	577.66
2002	12	29	19	13	759.7
2002	12	29	19	13	797.07
