CruiseShip,InspDate,Rating
OLYMPIC EXPLORER       ,37951,97
OOSTERDAM              ,37966,97
ORIANA                 ,38059,100
PACIFIC                ,38038,90
PACIFIC PRINCESS       ,37842,96
PACIFIC VENUS          ,37791,90
PALM BEACH PRINCESS    ,38000,94
PARADISE               ,38008,94
PRINSENDAM             ,38006,90
QUEEN ELIZABETH 2      ,37912,97
QUEEN MARY 2           ,38062,89
RADIANCE OF THE SEAS   ,37964,96
RADISSON DIAMOND       ,38070,95
REGAL EMPRESS          ,38036,91
REGAL PRINCESS         ,38007,95
REGATTA                ,38061,97
RHAPSODY OF THE SEAS   ,37962,99
ROTTERDAM              ,37901,93
ROYAL PRINCESS         ,38071,92
RYNDAM                 ,38059,94
SAFARI QUEST           ,37870,81
SCOTIA PRINCE          ,37834,96
SEA BIRD               ,37857,94
SEA DREAM I            ,38088,96
SEA DREAM II           ,38088,94
SEA LION               ,37867,90
SEABOURN LEGEND        ,38059,97
SEABOURN PRIDE         ,37989,93
SEABOURN SPIRIT        ,37477,98
SENSATION              ,38024,93
SERENADE OF THE SEAS   ,38039,91
SEVEN SEAS MARINER     ,38041,99
SEVEN SEAS NAVIGATOR   ,38076,98
SEVEN SEAS VOYAGER     ,37948,100
SILVER CLOUD           ,37698,91
SILVER SHADOW          ,37517,99
SILVER WHISPER         ,38005,100
SILVER WIND            ,38027,95
SOVEREIGN OF THE SEAS  ,38037,95
SPIRIT OF COLUMBIA     ,37844,90
SPIRIT OF ENDEAVOR     ,37476,87
SPIRIT OF OCEANUS      ,37859,95
SPLENDOUR OF THE SEAS  ,38089,90
ST. TROPEZ             ,38037,95
STAR PRINCESS          ,37861,100
STATENDAM              ,37910,99
SUMMIT                 ,37911,98
SUN PRINCESS           ,38056,93
SUNBIRD                ,37943,92
SUNDREAM               ,37610,86
TEXAS TREASURE 1       ,37996,91
TEXAS TREASURE II      ,37820,94
THE TOPAZ              ,38066,94
THE WORLD              ,38041,92
UNIVERSE EXPLORER      ,37747,92
VEENDAM                ,38003,99
VISION OF THE SEAS     ,37976,91
VISTAMAR               ,38037,86
VOLENDAM               ,37912,97
VOYAGER OF THE SEAS    ,38011,97
WIND SPIRIT            ,38059,97
WIND SURF              ,38067,98
WORLD DISCOVERER       ,37444,89
YORKTOWN CLIPPER       ,38008,96
ZAANDAM                ,38080,98
ZENITH                 ,38036,95
ZUIDERDAM              ,38108,98
