LAKE,MERCURY,NUMFISH,ELEVATION,SURFACE,MAXDEPTH,TYPE,STRATIF,DRAINAGE,RUNOFF,FLUSHING,CLASS,LAT-DEG,LAT-MIN,LAT-SEC,LON-DEG,LON-MIN,LON-SEC
TOGUE.P,0.11,5,1189,388,85,1,1,4,0.56,0.3,1,46,56,1,68,53,30
TOGUS.P,0.12,5,180,660,49,2,1,5,0.51,0.5,1,44,19,28,69,39,31
TRAVEL.P,0.82,4,204,102,6,2,0,14,0.57,50.9,1,44,15,14,69,31,49
UMBAGOG.L,0.29,5,1245,7850,48,2,0,600,0.56,9.2,0,44,47,25,71,0,47
UMCOLCUS.L,0.43,4,882,630,17,2,0,15,0.61,2.9,1,46,17,16,68,25,49
VARNUM.P,0.16,5,756,331,75,1,1,4,0.61,0.5,0,44,39,27,70,14,23
WADLEIGH.P,0.41,5,913,225,90,1,1,41,0.61,7.3,1,45,44,43,69,11,24
WEBBER.P,0.18,4,118,1201,41,2,1,28,0.51,1.6,0,44,24,13,69,39,53
WEYMOUTH.P,0.19,5,296,87,15,2,0,1,0.47,2.0,1,44,58,9,69,19,33
WIGHT.P,0.49,5,67,135,21,3,1,11,0.58,5.9,0,44,27,48,68,40,33
WOOD.P(LITTLE.BIG),0.25,5,1244,713,80,1,1,39,0.46,2.0,1,45,38,12,70,20,40
